amplitude_m,speed_m_s,regen_limit_w,spacing_m,reference_battery_wh,mean_signed_difference_wh,min_signed_difference_wh,max_signed_difference_wh,mean_absolute_difference_wh
0.000000000,8.000000000,0.000000000,5.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,0.000000000,10.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,0.000000000,30.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,5000.000000000,5.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,5000.000000000,10.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,5000.000000000,30.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,20000.000000000,5.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,20000.000000000,10.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,8.000000000,20000.000000000,30.000000000,103.659394582,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,15.000000000,0.000000000,5.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,0.000000000,10.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,0.000000000,30.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,5000.000000000,5.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,5000.000000000,10.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,5000.000000000,30.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,20000.000000000,5.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,20000.000000000,10.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,15.000000000,20000.000000000,30.000000000,121.566331377,0.000000000,0.000000000,0.000000000,0.000000000
0.000000000,25.000000000,0.000000000,5.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,0.000000000,10.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,0.000000000,30.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,5000.000000000,5.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,5000.000000000,10.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,5000.000000000,30.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,20000.000000000,5.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,20000.000000000,10.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.000000000,25.000000000,20000.000000000,30.000000000,177.881850123,-0.000000000,-0.000000000,-0.000000000,0.000000000
0.250000000,8.000000000,0.000000000,5.000000000,133.118876479,-1.531221762,-2.253156796,-0.719306225,1.531221762
0.250000000,8.000000000,0.000000000,10.000000000,133.118876479,-6.012430717,-6.931177729,-4.088048621,6.012430717
0.250000000,8.000000000,0.000000000,30.000000000,133.118876479,-29.458513971,-29.458551477,-29.458476471,29.458513971
0.250000000,8.000000000,5000.000000000,5.000000000,115.890195165,-0.635705952,-0.935309002,-0.298761015,0.635705952
0.250000000,8.000000000,5000.000000000,10.000000000,115.890195165,-2.496102372,-2.877382380,-1.697484426,2.496102372
0.250000000,8.000000000,5000.000000000,30.000000000,115.890195165,-12.229832658,-12.229870164,-12.229795158,12.229832658
0.250000000,8.000000000,20000.000000000,5.000000000,115.890195165,-0.635705952,-0.935309002,-0.298761015,0.635705952
0.250000000,8.000000000,20000.000000000,10.000000000,115.890195165,-2.496102372,-2.877382380,-1.697484426,2.496102372
0.250000000,8.000000000,20000.000000000,30.000000000,115.890195165,-12.229832658,-12.229870164,-12.229795158,12.229832658
0.250000000,15.000000000,0.000000000,5.000000000,143.003053930,-1.452603836,-1.882982940,-1.286927948,1.452603836
0.250000000,15.000000000,0.000000000,10.000000000,143.003053930,-5.565690650,-8.941002705,-1.997289213,5.565690650
0.250000000,15.000000000,0.000000000,30.000000000,143.003053930,-21.434964530,-21.435032653,-21.434896420,21.434964530
0.250000000,15.000000000,5000.000000000,5.000000000,130.471862580,-0.603282701,-0.781890049,-0.534527188,0.603282701
